FECHA_VACUNACION,ASTRAZENECA,JANSSEN,MODERNA,PFIZER,SINOPHARM
2022-04-20,7861409,117,98986,42744760,20647404
2022-04-21,7881839,117,112432,42846133,20654705
2022-04-22,7899164,117,125884,42968974,20663452
2022-04-23,7914715,117,134382,43115370,20671272
2022-04-24,7927280,117,139152,43234107,20678101
2022-04-25,7939585,117,147073,43347698,20686019
2022-04-26,7950100,117,156621,43467298,20693530
2022-04-27,7958356,117,167507,43586518,20701024
2022-04-28,7965188,117,178681,43702676,20708362
2022-04-29,7971034,117,191226,43825967,20714742
2022-04-30,7975584,117,204289,43958787,20720739
2022-05-01,7975584,117,208409,43992984,20723075
2022-05-02,7975585,117,218471,44058339,20727100
2022-05-03,7975585,117,230382,44135506,20732342
2022-05-04,7975585,117,242617,44211588,20737880
2022-05-05,7975585,117,255468,44285110,20743340
2022-05-06,7975585,117,273428,44349597,20747924
2022-05-07,7975586,117,290715,44410034,20751196
2022-05-08,7975589,117,293903,44422667,20752145
2022-05-09,7975589,117,318065,44484424,20756696
2022-05-10,7975589,117,348005,44552063,20761734
2022-05-11,7975590,117,376153,44618425,20766630
2022-05-12,7975590,117,401742,44685491,20771426
2022-05-13,7975590,117,426521,44756070,20776028
2022-05-14,7975590,117,453636,44830920,20780588
2022-05-15,7975591,117,469976,44879832,20783862
2022-05-16,7975592,117,493178,44942923,20788859
2022-05-17,7975592,117,518948,45008310,20793952
2022-05-18,7975592,117,546116,45073301,20798870
2022-05-19,7975592,117,571752,45136647,20804086
2022-05-20,7975592,117,597950,45206388,20809175
2022-05-21,7975592,117,630956,45282199,20813939
2022-05-22,7975592,117,653624,45335445,20817805
2022-05-23,7975592,117,683572,45396694,20823250
2022-05-24,7975592,117,714558,45460627,20828375
2022-05-25,7975594,117,745009,45524686,20833587
2022-05-26,7975594,117,772504,45589007,20838755
2022-05-27,7975594,117,802220,45657787,20843679
2022-05-28,7975594,117,838446,45729552,20848773
2022-05-29,7975594,117,866173,45780775,20852204
2022-05-30,7975595,117,895135,45838537,20857101
2022-05-31,7975596,117,921255,45893741,20861769
2022-06-01,7975596,117,945016,45937547,20866480
2022-06-02,7975597,117,972075,45982374,20870562
2022-06-03,7975597,117,1001366,46029576,20874443
2022-06-04,7975597,117,1036529,46081626,20878231
2022-06-05,7975597,117,1060587,46115677,20880912
2022-06-06,7975597,117,1089468,46160287,20885600
2022-06-07,7975597,117,1121055,46204259,20890023
2022-06-08,7975597,117,1153339,46251905,20894790
2022-06-09,7975597,117,1186217,46299172,20899137
2022-06-10,7975597,117,1219248,46348385,20903508
2022-06-11,7975597,117,1256702,46400060,20907448
2022-06-12,7975598,117,1284988,46436875,20910750
2022-06-13,7975598,117,1303833,46467120,20913715
2022-06-14,7975598,117,1335277,46511087,20918135
2022-06-15,7975598,117,1369193,46555219,20922600
2022-06-16,7975598,117,1409936,46598158,20926747
2022-06-17,7975598,117,1449887,46639493,20930805
2022-06-18,7975599,117,1489967,46678675,20934289
2022-06-19,7975599,117,1504707,46692929,20935670
2022-06-20,7975599,117,1543459,46732174,20939810
