DEPARTAMENTO,DISTRITO,POBLACION
PIURA,SULLANA,155756
PIURA,BELLAVISTA,37159
PIURA,IGNACIO ESCUDERO (San Jacinto),17570
PIURA,LANCONES,12026
PIURA,MARCAVELICA,24872
PIURA,MIGUEL CHECA (Sojo),7498
PIURA,QUERECOTILLO,22948
PIURA,SALITRAL,6105
PIURA,PARIÑAS (Talara),86077
PIURA,EL ALTO,7445
PIURA,LA BREA (Negritos),11636
PIURA,LOBITOS,1289
PIURA,LOS ORGANOS,8752
PIURA,MANCORA,9527
PUNO,PUNO,118815
PUNO,ACORA,20762
PUNO,AMANTANI,4574
PUNO,ATUNCOLLA,4693
PUNO,CAPACHICA,8931
PUNO,CHUCUITO,7391
PUNO,COATA,7016
PUNO,HUATA,3180
PUNO,MAÑAZO,4953
PUNO,PAUCARCOLLA,4604
PUNO,PICHACANI (Laraqueri),5806
PUNO,PLATERIA,6853
PUNO,SAN ANTONIO (San Antonio de Esquilache),1323
PUNO,TIQUILLACA,2425
PUNO,VILQUE,2775
PUNO,AZANGARO,28903
PUNO,ACHAYA,3819
PUNO,ARAPA,7345
PUNO,ASILLO,14400
PUNO,CAMINACA,4333
PUNO,CHUPA,6954
PUNO,JOSE DOMINGO CHOQUEHUANCA,4063
PUNO,MUÑANI,6051
PUNO,POTONI,3494
PUNO,SAMAN,11514
PUNO,SAN ANTON,6974
PUNO,SAN JOSE,4778
PUNO,SAN JUAN DE SALINAS,3453
PUNO,SANTIAGO DE PUPUJA,4532
PUNO,TIRAPATA,2703
PUNO,MACUSANI,11419
PUNO,AJOYANI,2227
PUNO,AYAPATA,5445
PUNO,COASA,5886
PUNO,CORANI,3803
PUNO,CRUCERO,7356
PUNO,ITUATA (Tambillos),4990
PUNO,OLLACHEA,5130
PUNO,SAN GABAN (Lanlacuni Bajo),6291
PUNO,USICAYOS,2981
PUNO,JULI,19857
PUNO,DESAGUADERO,10105
PUNO,HUACULLANI,4211
PUNO,KELLUYO,4471
PUNO,PISACOMA,2360
PUNO,POMATA,13392
PUNO,ZEPITA,14762
PUNO,ILAVE,43493
PUNO,CAPAZO,713
PUNO,PILCUYO,9999
PUNO,SANTA ROSA (Mazo Cruz),3235
PUNO,CONDURIRI,2631
PUNO,HUANCANE,19708
PUNO,COJATA,4225
PUNO,HUATASANI,2513
PUNO,INCHUPALLA,3086
PUNO,PUSI,4798
PUNO,ROSASPATA,5183
PUNO,TARACO,12872
PUNO,VILQUE CHICO,9265
